31.03.2017 11:54:11 | Logout : dasdsa31.03.2017 11:55:02 | Logout : 31.03.2017 11:55:02 | Logout : 1131.03.2017 11:56:10 | Login : 11
31.03.2017 11:56:12 | Login : 11
31.03.2017 11:56:12 | Login : 11
31.03.2017 11:56:16 | Login : 11
31.03.2017 11:56:19 | Login : 11
31.03.2017 11:56:23 | Login : 11
31.03.2017 11:56:26 | Login : 11
31.03.2017 11:56:30 | Login : 11
31.03.2017 11:56:33 | Login : 11
31.03.2017 11:56:35 | Login : 11
31.03.2017 11:56:36 | Login : 11
31.03.2017 11:56:38 | Login : 11
31.03.2017 11:56:40 | Login : 11
31.03.2017 11:56:50 | Login : 11
31.03.2017 11:57:37 | Login : 11
31.03.2017 11:57:39 | Login : 11
31.03.2017 11:57:39 | Logout : 11
31.03.2017 11:57:39 | Login : 
31.03.2017 11:58:38 | Login : 11
31.03.2017 12:03:04 | Logout : 11
31.03.2017 12:03:21 | Login : 11
01.04.2017 11:45:41 | Logout : userid = 11
01.04.2017 11:45:49 | Login : userid = 11
01.04.2017 12:55:26 | Logout : userid = 11
01.04.2017 12:55:32 | Login : userid = 11
01.04.2017 13:19:40 | Logout : userid = 11
01.04.2017 13:20:41 | Login : userid = 10
01.04.2017 13:24:12 | Logout : userid = 10
01.04.2017 13:24:16 | Login : userid = 11
01.04.2017 13:29:00 | Logout : userid = 11
01.04.2017 13:29:06 | Login : userid = 10
01.04.2017 15:50:17 | Login : userid = 11
